PL_Rank,Player,Position,PL_Tier,PL_Tier_Name,Tags,PL_Note
1,Shohei Ohtani,DH,1,Elite,POWER_OBP,50+ HR back-to-back; perennial MVP; pitching return adds dual-threat premium in 2026
2,Aaron Judge,OF,1,Elite,POWER_OBP,148+ games in 4 of 5 seasons shedding injury label; interchangeable #1
3,Juan Soto,OF,2,Premium,POWER_OBP,BA bounces 10-20 pts in 2026; 40 HR floor regardless of park; OBP over .400
4,José Ramírez,3B,2,Premium,SPEED_VALUE,30 HR / 40 SB par for course; top 3B in game; lineup thin without protection
5,Bobby Witt Jr.,SS,2,Premium,SPEED_VALUE,~25 HR elite ratios + 35-40 SB; Kauffman factors help; counting stats upside
6,Julio Rodríguez,OF,2,Premium,"SPEED_VALUE,BOUNCE_BACK",Real J-Rod is 30 HR / 30 SB version; Naylor return thickens lineup
7,Kyle Tucker,OF,2,Premium,"POWER_OBP,BOUNCE_BACK",Injury mulligan; Dodger lineup boost; 30-35 HR + 20 SB; health = top-3
8,Fernando Tatis Jr.,OF,2,Premium,POWER_OBP,First 150-game season; power rebounded Sept; Tier 1 ceiling
9,Junior Caminero,3B,3,Stud,POWER_OBP,45 HR debut; home/road split fluky (more road HRs); 30-35 HR + 100 RBI
10,Corbin Carroll,OF,3,Stud,"SPEED_VALUE,BOUNCE_BACK",Hamate data shows no long-term power impact; 30-30 floor; counting stats concern
11,Cal Raleigh,C,3,Stud,POWER_OBP,50 HR threat; out-earned C2+C3+C4 combined ($47.7 vs $46.0); play early
12,Nick Kurtz,1B,3,Stud,POWER_OBP,Top-30 finish in 117 G; sophomore risk real but hot streaks burn bright
13,Kyle Schwarber,OF,3,Stud,POWER_OBP,Hardest hit ever; .240+ BA; safest play in H2H categories formats
14,Pete Alonso,1B,3,Stud,POWER_OBP,Camden Yards park: Statcast projects 45 HR if all games there; fresh start
15,Francisco Lindor,SS,3,Stud,SPEED_VALUE,30 HR / 30 SB avg over 3 seasons; hamate minor concern; durable stalwart
16,Gunnar Henderson,SS,3,Stud,BOUNCE_BACK,Shoulder injury explains 2025 dip; 30+ HR upside with improved lineup
17,Elly De La Cruz,SS,3,Stud,SPEED_VALUE,Reds less aggressive limits SB ceiling; floor rising via lower K rate
18,Vladimir Guerrero Jr.,1B,3,Stud,POWER_OBP,Highest floor in game; never missed 10+ games; chase ceiling > floor profile
19,Ronald Acuña Jr.,OF,4,Solid,"SPEED_VALUE,INJURY_RISK",30-30 threat if healthy; .280-.290 BA; 3rd IL trip in 5 years is concern
20,Yordan Alvarez,OF,4,Solid,"POWER_OBP,INJURY_RISK","Tier 2 talent, injury-risk only knock; 1.031 OPS on return; 135+ G in 3 seasons"
21,Jackson Chourio,OF,4,Solid,SPEED_VALUE,Back-to-back 20-20; 25-25 full-season projection; hamstring history
22,Jazz Chisholm Jr.,2B,4,Solid,"SPEED_VALUE,MULTI_POS",30-35 HR / 30-35 SB; 2B+3B eligible; volatile but wRC+ 100+ every month in 2025
23,Zach Neto,SS,4,Solid,"SPEED_VALUE,BOUNCE_BACK",30-30 ceiling if healthy; across-the-board quality of contact improvements in 128 G
24,Ketel Marte,2B,4,Solid,POWER_OBP,25+ HR; .280+ BA; rare elite 2B; projections very bullish for 2026
25,Brent Rooker,OF,4,Solid,POWER_OBP,30 HR floor; K rate dropped 6.6 pts; second season in Sacramento = improvement
26,Bryce Harper,1B,4,Solid,"POWER_OBP,INJURY_RISK",30 HR when healthy; likely misses 15-20 G; wrist injury treated as floor
27,Josh Naylor,1B,4,Solid,SPEED_VALUE,30 SB from 1B just twice caught; 3-year 90+ RBI streak; safe contact floor
28,Manny Machado,3B,4,Solid,POWER_OBP,27+ HR every non-COVID season since 2015; lineup thin in SD is concern
29,Trea Turner,SS,4,Solid,SPEED_VALUE,30 SB / .300 BA returns; Phillies clock ticking; 15+ HR; 140 G in 4 of 5
30,Matt Olson,1B,4,Solid,POWER_OBP,162 G four straight seasons; 28-30 HR reliable; durable anchor
31,Pete Crow-Armstrong,OF,5,Value,"SPEED_VALUE,BUST",30-30 ceiling; 2H collapse concerning; gamble worth taking for upside
32,James Wood,OF,5,Value,"POWER_OBP,BOUNCE_BACK",Top-10 ceiling; breaker passiveness fixable; top-10 upside per PL metrics
33,Mookie Betts,SS,5,Value,"POWER_OBP,BOUNCE_BACK",Scorching .317/.376/.516 final 47 G; elite decisions multi-path to .265+ BA
34,Brice Turang,2B,5,Value,SPEED_VALUE,Power breakout (18 HR) real; 15 HR + 25-30 SB + high BA; elite 2B
35,Riley Greene,OF,5,Value,POWER_OBP,30+ HR; 100 RBI projection; adjustment ability proven; top-20 ceiling
36,Rafael Devers,1B,5,Value,"POWER_OBP,BUST",35 HR / 109 RBI; zone contact at career-low 73.8%; .250 BA floor here to stay
37,Freddie Freeman,1B,5,Value,POWER_OBP,Top-40 even with injury; 20+ HR; .295 BA; elite Dodgers lineup context
38,Jackson Merrill,OF,5,Value,BOUNCE_BACK,7 HR September + postseason signals injury caused dip; true power TBD
39,Wyatt Langford,OF,5,Value,"SLEEPER,ADP_VALUE",Plus power + speed age 24; two elite months; plate discipline improving; consistency coming
40,Bo Bichette,SS,5,Value,"ADP_VALUE,MULTI_POS",3B eligibility via NYM = tier bump; .311 BA; 17-20 HR; big positional value
41,Hunter Goodman,C,5,Value,POWER_OBP,18 road HR proves park-independent power; rare Rockies positive; 104 G at C
42,Shea Langeliers,C,5,Value,"POWER_OBP,BOUNCE_BACK",K rate dropped 7.5 pts; 25-30 HR; 2H power explosion; decision-making improving
43,Cody Bellinger,1B,6,Mid,BUST,25 HR; below-avg barrel/hard-hit; Bronx park compensates; 2 crappy months likely
